"tier","id","wallet","name","tierV2","badges","streaming","portal_link"
"Diamond","31","0x917a67de1a4e29d8820e1aeafd1e7e53f19f2df7","coffee","15","39","yes","https://portal.abs.xyz/profile/0x917a67de1a4e29d8820e1aeafd1e7e53f19f2df7"
"Diamond","58","0xfc61f1b7701f6765ff548b3bca403cdaa723d260","curtis","13","31","yes","https://portal.abs.xyz/profile/0xfc61f1b7701f6765ff548b3bca403cdaa723d260"
"Diamond","86","0x94692aeb630122b221b2950c2fef4f4f4a5fdf78","RubiksGus","15","42","yes","https://portal.abs.xyz/profile/0x94692aeb630122b221b2950c2fef4f4f4a5fdf78"
"Diamond","292","0xaa9f002000c4f34727e1f0407f363e4ee0be4c27","cardman","13","23","no","https://portal.abs.xyz/profile/0xaa9f002000c4f34727e1f0407f363e4ee0be4c27"
"Diamond","2453","0x6c55280706ddc3477b80fe6e2f1e5be479a74182","Breezeonhodl","13","38","yes","https://portal.abs.xyz/profile/0x6c55280706ddc3477b80fe6e2f1e5be479a74182"
"Diamond","3878","0x531a75ed2a7dea237ded2fc2c14ee878fc723eaa","thepeengwin","13","40","yes","https://portal.abs.xyz/profile/0x531a75ed2a7dea237ded2fc2c14ee878fc723eaa"
"Diamond","4094","0x2a8c750c49674ab43d078ded37087ff47851b468","Woo","14","43","yes","https://portal.abs.xyz/profile/0x2a8c750c49674ab43d078ded37087ff47851b468"
"Diamond","4112","0x9714a649f3ff075dca25386e98e384daf3abb323","jellothefox","13","36","no","https://portal.abs.xyz/profile/0x9714a649f3ff075dca25386e98e384daf3abb323"
"Diamond","4425","0xa8cf07d10b478f15e2e0c00eb49b56ffcebcaca5","coolgolfer1","13","40","yes","https://portal.abs.xyz/profile/0xa8cf07d10b478f15e2e0c00eb49b56ffcebcaca5"
"Diamond","4912","0xa97a257e04a0da6b5146bf8a22796ec73049570f","1mpal","13","41","yes","https://portal.abs.xyz/profile/0xa97a257e04a0da6b5146bf8a22796ec73049570f"
"Diamond","5427","0xe55fc1366a59462b5bf0d269a977be9d5488d627","debuddha","13","37","no","https://portal.abs.xyz/profile/0xe55fc1366a59462b5bf0d269a977be9d5488d627"
"Diamond","6934","0xc2a71b6d16b502375c8b40a82e08477655d75f2d","vibes","13","38","yes","https://portal.abs.xyz/profile/0xc2a71b6d16b502375c8b40a82e08477655d75f2d"
"Diamond","8637","0xda0d86ff957c528b3b0f81f06efd8249010a8bd6","OxDuck","13","42","yes","https://portal.abs.xyz/profile/0xda0d86ff957c528b3b0f81f06efd8249010a8bd6"
"Diamond","9104","0xb2de832014a5bf1c499e5dff9d92ef0e1e5e5a80","LiLPudgyWhale","13","39","yes","https://portal.abs.xyz/profile/0xb2de832014a5bf1c499e5dff9d92ef0e1e5e5a80"
"Diamond","21924","0x1269e524a4fea18f23b0280e540555dc08181ef7","Paradisiak","13","33","yes","https://portal.abs.xyz/profile/0x1269e524a4fea18f23b0280e540555dc08181ef7"
"Diamond","22647","0x15c821c18ff36b24efd0a338989281107ae26f90","Cody","13","38","yes","https://portal.abs.xyz/profile/0x15c821c18ff36b24efd0a338989281107ae26f90"
"Diamond","22956","0xb747190b7394ed19dca4aa4ba7f4bea90790f8dc","LaaLaa","13","40","yes","https://portal.abs.xyz/profile/0xb747190b7394ed19dca4aa4ba7f4bea90790f8dc"
"Diamond","23872","0x68d8c0524a2175fba446adf3fbace949c9023be4","FirstMover","13","41","yes","https://portal.abs.xyz/profile/0x68d8c0524a2175fba446adf3fbace949c9023be4"
"Diamond","25203","0xd2bb5bcaaaa9d2d77a50598055397916780972ca","Sinet","14","36","yes","https://portal.abs.xyz/profile/0xd2bb5bcaaaa9d2d77a50598055397916780972ca"
"Diamond","26390","0x0804f0d4f5d3794539af6a8a8a6a6da31383bb20","Brighty","13","37","yes","https://portal.abs.xyz/profile/0x0804f0d4f5d3794539af6a8a8a6a6da31383bb20"
"Diamond","36657","0x2c53d33fd90fc8d5fe5cac986db81ba7f3b9aae6","Hoangry","15","36","yes","https://portal.abs.xyz/profile/0x2c53d33fd90fc8d5fe5cac986db81ba7f3b9aae6"
"Diamond","37106","0xd17fc951befa64fe6b4bc9de67e65d3ca3477ff0","Antony","15","31","no","https://portal.abs.xyz/profile/0xd17fc951befa64fe6b4bc9de67e65d3ca3477ff0"
"Diamond","37248","0x962d1bd455668a379c7676018f3371fb44a10090","Shaz","13","40","yes","https://portal.abs.xyz/profile/0x962d1bd455668a379c7676018f3371fb44a10090"
"Diamond","37359","0x67016b9194c606a23d14b893e63fb1bb24632bfc","skarly","13","12","yes","https://portal.abs.xyz/profile/0x67016b9194c606a23d14b893e63fb1bb24632bfc"
"Diamond","37543","0x68223cf647fd62635c606c6964bf3e46a4e5cc92","murec","14","29","yes","https://portal.abs.xyz/profile/0x68223cf647fd62635c606c6964bf3e46a4e5cc92"
"Diamond","37808","0x4bb77f54088c2a876af66720d0298cbb96023f3f","pepp","13","37","yes","https://portal.abs.xyz/profile/0x4bb77f54088c2a876af66720d0298cbb96023f3f"
"Diamond","37978","0x4e887cd45a3c561f16f03d6678fcd093dac001e8","ericzalusky","13","39","no","https://portal.abs.xyz/profile/0x4e887cd45a3c561f16f03d6678fcd093dac001e8"
"Diamond","38158","0x0a42a67154221c44c9eae98eb7f9cbff2d269a0e","cassowary","13","25","no","https://portal.abs.xyz/profile/0x0a42a67154221c44c9eae98eb7f9cbff2d269a0e"
"Diamond","38305","0x5297cbb47a11232634b3f56de075a8641958de67","Gee24","13","20","yes","https://portal.abs.xyz/profile/0x5297cbb47a11232634b3f56de075a8641958de67"
"Diamond","38639","0x5bb347443887e595820f74f028e837c3766f5923","Itero","14","40","yes","https://portal.abs.xyz/profile/0x5bb347443887e595820f74f028e837c3766f5923"
"Diamond","39403","0xa8a208b92ebd8fd42f6e6fc40e753c16838c2c3d","ber","14","39","no","https://portal.abs.xyz/profile/0xa8a208b92ebd8fd42f6e6fc40e753c16838c2c3d"
"Diamond","40488","0x3497346935464fd2e0f589145d62261a586e23fc","Elusive","14","39","yes","https://portal.abs.xyz/profile/0x3497346935464fd2e0f589145d62261a586e23fc"
