"tier","id","wallet","name","tierV2","badges","streaming","portal_link"
"Gold","20","0xbb2accb64aed939589498bf5eb480e52a314f572","partthai","9","23","yes","https://portal.abs.xyz/profile/0xbb2accb64aed939589498bf5eb480e52a314f572"
"Gold","27","0x20c26c7298a428af86c9072513698e469087716a","stinkypablo","7","17","yes","https://portal.abs.xyz/profile/0x20c26c7298a428af86c9072513698e469087716a"
"Gold","29","0x7fd2691e23780d3907e1eed9e69ec94c375db8bf","beans","7","9","no","https://portal.abs.xyz/profile/0x7fd2691e23780d3907e1eed9e69ec94c375db8bf"
"Gold","32","0x2f4e1b00b40ade60f69dd0d93c6060144e0690ea","Mason","8","13","no","https://portal.abs.xyz/profile/0x2f4e1b00b40ade60f69dd0d93c6060144e0690ea"
"Gold","33","0x06639f064b82595f3be7621f607f8e8726852fcf","jarrodwatts","7","18","yes","https://portal.abs.xyz/profile/0x06639f064b82595f3be7621f607f8e8726852fcf"
"Gold","34","0x41ecea25bc157a2c41cea76dcd85e7fec1f38131","AbstractTrainer","7","9","no","https://portal.abs.xyz/profile/0x41ecea25bc157a2c41cea76dcd85e7fec1f38131"
"Gold","42","0xac161ad711e4dc68ac2a6754b98137b69af69c3e","CashBowie","7","29","yes","https://portal.abs.xyz/profile/0xac161ad711e4dc68ac2a6754b98137b69af69c3e"
"Gold","43","0x7bfd90d6b80304542500de8f4e7be5ed99aae659","Logan","9","24","yes","https://portal.abs.xyz/profile/0x7bfd90d6b80304542500de8f4e7be5ed99aae659"
"Gold","49","0x593982fe4d7ba53514ccfa275104f5ee59fc1f10","abrilzucchi","7","9","yes","https://portal.abs.xyz/profile/0x593982fe4d7ba53514ccfa275104f5ee59fc1f10"
"Gold","63","0x158ee944ee14519d7626cfb3c9b133632a2e9ff0","thekevinz","7","11","yes","https://portal.abs.xyz/profile/0x158ee944ee14519d7626cfb3c9b133632a2e9ff0"
"Gold","73","0x832e47cc4f7ae7b43c3a50b8c80a70ef12ca37c3","KZMKBL","7","33","yes","https://portal.abs.xyz/profile/0x832e47cc4f7ae7b43c3a50b8c80a70ef12ca37c3"
"Gold","74","0x3b785eca59bfec5a2c56ee2d131e0f0eb813ee20","KennyPowerz","7","22","no","https://portal.abs.xyz/profile/0x3b785eca59bfec5a2c56ee2d131e0f0eb813ee20"
"Gold","75","0x0fe8301c81d0bf4bfbfb316e06e76783a2e48744","g3ce","8","36","yes","https://portal.abs.xyz/profile/0x0fe8301c81d0bf4bfbfb316e06e76783a2e48744"
"Gold","78","0xce0ca0bd8420c4789224a682ef3c396757081669","Nickytha","7","14","yes","https://portal.abs.xyz/profile/0xce0ca0bd8420c4789224a682ef3c396757081669"
"Gold","89","0x647b96167e1644acaf279679d48a1f2994b4becc","0x647b96167e1644acaf279679d48a1f2994b4becc","8","28","yes","https://portal.abs.xyz/profile/0x647b96167e1644acaf279679d48a1f2994b4becc"
"Gold","91","0x2855441ede20a95858e061ff32ea759dddea07df","oatmilk","8","23","yes","https://portal.abs.xyz/profile/0x2855441ede20a95858e061ff32ea759dddea07df"
"Gold","95","0x39f1f5bc103d06e7352a69221cbc21d6a6acaac6","Truunik","7","11","yes","https://portal.abs.xyz/profile/0x39f1f5bc103d06e7352a69221cbc21d6a6acaac6"
"Gold","130","0xe7b4acbb2a64786c60fe084265f644fbfc028cfd","BRYTE","9","26","no","https://portal.abs.xyz/profile/0xe7b4acbb2a64786c60fe084265f644fbfc028cfd"
"Gold","131","0x6b53c58461fd6c0bb4412150fcdebb41570184eb","pumpmaster","8","29","yes","https://portal.abs.xyz/profile/0x6b53c58461fd6c0bb4412150fcdebb41570184eb"
"Gold","142","0xf63eff8aee79c696e52fe67024179b85671a3639","BeWater","7","10","yes","https://portal.abs.xyz/profile/0xf63eff8aee79c696e52fe67024179b85671a3639"
"Gold","150","0x19c917ce99d47ed11d98ead035f25b894659a54e","0x19c917ce99d47ed11d98ead035f25b894659a54e","7","6","no","https://portal.abs.xyz/profile/0x19c917ce99d47ed11d98ead035f25b894659a54e"
"Gold","156","0x8ff1bb9cc8d9d85af0d2b132722f6bec88eb1d9d","MxTris","8","30","yes","https://portal.abs.xyz/profile/0x8ff1bb9cc8d9d85af0d2b132722f6bec88eb1d9d"
"Gold","172","0x864b0283f90eceb2e3e97b9a1727315d8c6cfaa4","aymdoteth","8","36","yes","https://portal.abs.xyz/profile/0x864b0283f90eceb2e3e97b9a1727315d8c6cfaa4"
