"tier","id","wallet","name","tierV2","badges","streaming","portal_link"
"Platinum","19","0x1bde3d2861cb5216eb6ec559afde7d44f385d4f6","cygaar","10","25","yes","https://portal.abs.xyz/profile/0x1bde3d2861cb5216eb6ec559afde7d44f385d4f6"
"Platinum","24","0xc2451c4d64e851f9f62963ca48a25471b2740e0f","doubledash","10","11","yes","https://portal.abs.xyz/profile/0xc2451c4d64e851f9f62963ca48a25471b2740e0f"
"Platinum","30","0x1c67724acc76821c8ad1f1f87ba2751631babd0c","Phin","10","16","yes","https://portal.abs.xyz/profile/0x1c67724acc76821c8ad1f1f87ba2751631babd0c"
"Platinum","47","0x456fa11a0e79752df7e27e7e3ed0efe61441628f","adrian","10","23","yes","https://portal.abs.xyz/profile/0x456fa11a0e79752df7e27e7e3ed0efe61441628f"
"Platinum","51","0xa2b601c962f81e22cc6021ffb6270bd19b31ce4c","Brian","12","31","yes","https://portal.abs.xyz/profile/0xa2b601c962f81e22cc6021ffb6270bd19b31ce4c"
"Platinum","52","0x2b4afc2f1ccdf106058084e9a185e0e709c04bb5","Daila","10","18","yes","https://portal.abs.xyz/profile/0x2b4afc2f1ccdf106058084e9a185e0e709c04bb5"
"Platinum","139","0x854f908776085227705e78d8f6aeb365ec8e60c8","ROBRO","10","29","no","https://portal.abs.xyz/profile/0x854f908776085227705e78d8f6aeb365ec8e60c8"
"Platinum","182","0xe510f33bf4792fcca24daa4ede08e4f228950a25","dub","12","31","yes","https://portal.abs.xyz/profile/0xe510f33bf4792fcca24daa4ede08e4f228950a25"
"Platinum","187","0x63642edbce547ec4e21a5513153052415f731aed","ARavingApe","10","29","yes","https://portal.abs.xyz/profile/0x63642edbce547ec4e21a5513153052415f731aed"
"Platinum","195","0x0f7735277843d2b97437fe81efb25c3757ba96df","inhuman","10","19","yes","https://portal.abs.xyz/profile/0x0f7735277843d2b97437fe81efb25c3757ba96df"
"Platinum","220","0x7c968f13f5db7d687c0e95c49c02e99bd1e6bfb7","Dannyjan","11","28","yes","https://portal.abs.xyz/profile/0x7c968f13f5db7d687c0e95c49c02e99bd1e6bfb7"
